ID,Name,Category,Chain(s),URL
1886,Kintsugi,Cross Chain,Kintsugi,https://kintsugi.interlay.io
1885,XY Finance,Bridge,Arbitrum | Astar | Avalanche | Binance | Cronos | Ethereum | Fantom | Kucoin | Moonriver | Optimism | Polygon | ThunderCore,https://xy.finance
1884,WhaleSwap,Dexes,Binance,https://whaleswap.finance
1883,iziSwap,Dexes,Binance,https://izumi.finance/trade/swap
1882,Ferro,Dexes,Cronos,https://ferroprotocol.com
1881,Toros,Indexes,Optimism | Polygon,https://toros.finance
1880,Minto,Yield,Binance | Heco,https://minto.finance
1879,Acala LCDOT,Liquid Staking,Acala,https://apps.acala.network
1878,ApeX Protocol,Dexes,Arbitrum,https://app.apex.exchange/trade
1877,Fusion Dex,Dexes,Fantom | Nova,https://fusion.novanetwork.io
1876,VeRocket,Dexes,VeChain,https://app.verocket.com
1875,Atlendis,Lending,Polygon,https://app.atlendis.io
1874,Lending Pond,Lending,Cardano,https://lendingpond.app
1873,Torches,Lending,Kucoin,https://www.torches.finance/
1872,Rift Finance,Yield,Aurora | Ethereum,https://rift.finance
1871,HunnySwap,Dexes,Avalanche,https://hunnyswap.com
1870,StrategyX Finance,Farm,Fantom,https://www.strategyx.finance
1869,Omni Protocol,Lending,Ethereum,https://omniprotocol.xyz
1868,Surfswap,Dexes,Kava,https://surfdex.io
1867,Sonic,Dexes,ICP,https://sonic.ooo
1866,DexPad,Services,Avalanche | Cronos | Kava | Polygon,https://dexpad.io
1865,Oracle Swap,Dexes,Songbird,https://www.oracleswap.io
1864,Team Finance,Launchpad,Avalanche | Binance | Ethereum | Polygon,https://www.team.finance
1863,Ceres Demeter,Yield,Sora,https://farming.deotoken.io
1862,VeleroDAO,CDP,Velas,https://www.velero.finance/
1861,CGO Finance,Yield Aggregator,Cronos,https://cgo.finance
1860,Eris Protocol,Liquid Staking,Terra2,https://www.erisprotocol.com
1859,AuraSwap,Dexes,Polygon,https://auraswap.finance
1858,Fringe,Lending,Ethereum,https://fringe.fi
1857,FATExFi,Dexes,Polygon,https://fatex.io
1856,Fractal Protocol,Yield,Ethereum,https://www.fractalprotocol.org
1855,Klap,Lending,Klaytn,https://www.klap.finance
1854,Phoenix DEX,Dexes,Terra2,https://phoenixfi.so
1853,Moonwell Artemis,Lending,Moonbeam,https://moonwell.fi
1852,Gardens DAO,Services,xDai,https://gardensdao.eth.limo/#/home
1851,InsureDAO,Insurance,Ethereum | Optimism,https://www.insuredao.fi
1850,Union Protocol,Lending,Arbitrum | Ethereum,https://union.finance
1849,Acala Liquid-Staking,Liquid Staking,Acala,https://apps.acala.network/ldot
1848,Acala Dollar,Lending,Acala,https://apps.acala.network/vault
1847,Acala Swap,Dexes,Acala,https://apps.acala.network/swap
1846,KefirSwap,Dexes,Kava,https://kefirswap.net
1845,OrbitalSwap,Dexes,Binance,https://orbitalswap.com
1844,Stipend,Yield,Kava,https://governordao.org
1843,Kavacave,Yield,Kava,https://www.kavacave.app
1842,Kasava Dex,Dexes,Kava,https://kasavadex.com
1841,Ratio Finance,CDP,Solana,https://ratio.finance
1840,Sushiswap Kashi,Lending,Arbitrum | Binance | Ethereum | Fantom,https://sushi.com
1839,Aave Arc,Lending,Ethereum,https://aave.com
1838,AAVE V1,Lending,Ethereum,https://aave.com
1837,VAX,Dexes,MultiVAC,https://vax.mtv.guru
1836,Investin,Indexes,Solana,https://investin.pro
1835,Tangent,Dexes,Hedera,https://tangent.bar
1834,Optimus,Yield,Icon,https://optimus.finance
1833,UniDex,Derivatives,Fantom,https://unidex.exchange
1832,Lachain Yield Market,Yield,Lachain,https://app.lachain.io/yield-market
1831,VITCSwap,Dexes,Vite,https://swap.vitc.org
1830,ZeroSwap,Dexes,Binance | Ethereum | Polygon,https://zeroswap.io
1829,Interest Protocol,CDP,Ethereum,https://interestprotocol.io
1828,SharkSwap,Dexes,SXnetwork,https://sharkswap.xyz
1827,SaharaDAO,Algo-Stables,Cronos,https://saharadao.finance
1826,Everlend,Lending,Solana,https://everlend.finance
1825,Nirvana,CDP,Solana,https://nirvana.finance
1824,Swapsicle,Dexes,Avalanche,https://swapsicle.io
1823,Nomiswap,Dexes,Binance,https://nomiswap.io
1821,AstarFarm,Gaming,Astar,https://astarfarm.com
1820,Unipilot,Yield,Ethereum,https://unipilot.io
1819,Crown Finance,Yield Aggregator,Cronos,https://www.crownfinance.io
1818,DinoPool,Algo-Stables,Cronos,https://dinopool.finance
1817,Jupiter Swap,Dexes,Kava,https://www.jupiter-swap.exchange
1816,Ruby Finance,Algo-Stables,Kava,https://www.ruby-finance.com
1815,The Story of Draco,Farm,Fantom,https://dracodefi.com
1814,Option Dance,Options,Mixin,https://option.dance
1813,Spin,Dexes,Near,https://spin.fi
1812,FluidTokens,Lending,Cardano,https://fluidtokens.com
1811,Spice Trade,Algo-Stables,Avalanche | Binance | Ethereum | Polygon,https://app.spicetrade.ai
1810,Zinax DAO,Farm,Binance,https://zinax.org
1809,Penrose,Yield,Polygon,https://www.penrose.money
1808,Axia Protocol,Indexes,Ethereum | Polygon,https://axiaprotocol.io
1807,PinkSale,Launchpad,Avalanche | Binance | Cronos | Ethereum | Fantom | Polygon,https://www.pinksale.finance
1806,Phuture,Indexes,Ethereum,https://www.phuture.finance
1805,Mole,Yield,Avalanche,https://mole.fi
1804,Zeta,Options,Solana,https://www.zeta.markets
1803,Gaur Money,Algo-Stables,Cronos,https://gaur.money
1802,Bomb Finance,Dexes,Fantom,https://app.fbomb.finance
1801,Metavault Trade,Dexes,Polygon,https://metavault.trade
1800,Argo Finance,Liquid Staking,Cronos,https://www.argofinance.money
1799,Velodrome,Dexes,Optimism,https://app.velodrome.finance
1798,TFM,Dexes,Terra,tfm/index.js
1797,Stronghands,Dexes,Cronos,https://smxswap.com
